partition,source_split,sample_id
heldout,Test,027
heldout,Test,025
heldout,Train,014
tuning,Train,026
tuning,Test,003
heldout,Test,009
tuning,Train,076
heldout,Train,034
heldout,Train,037
tuning,Train,002
heldout,Train,044
heldout,Train,012
tuning,Train,008
tuning,Test,001
heldout,Test,023
heldout,Train,035
tuning,Train,006
heldout,Test,011
tuning,Train,071
heldout,Train,010
tuning,Test,017
heldout,Train,032
heldout,Test,021
heldout,Train,016
tuning,Train,057
tuning,Train,062
tuning,Train,022
heldout,Test,038
heldout,Test,005
heldout,Test,015
heldout,Train,067
heldout,Train,060
tuning,Train,047
heldout,Train,024
tuning,Train,040
tuning,Train,018
heldout,Train,004
tuning,Test,019
heldout,Train,059
heldout,Test,036
tuning,Train,028
tuning,Test,033
heldout,Train,050
heldout,Train,072
heldout,Test,007
heldout,Train,030
heldout,Train,020
tuning,Test,031
heldout,Test,029
tuning,Train,039
